2024-06-20	21:57:31	5357a784-7ffe-4412-b172-f24d441fbee3	POST	/api/v1/auth/logout	http://localhost:3000
2024-06-20	21:58:03	5da9a0b2-175e-4daf-bc7e-92882c203615	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:58:03	e85d042e-ee25-41ed-b9f3-25d10ece5276	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	21:58:04	3870d3ea-747f-4617-a49b-8cb09795f53d	OPTIONS	/api/v1/lessons	http://localhost:3000
2024-06-20	21:58:04	764fcc4d-3631-45a8-b0cf-95e5ad10f1db	GET	/api/v1/lessons	http://localhost:3000
2024-06-20	21:58:05	a9a49024-92f6-4351-96d0-5e0ea8bc4766	POST	/api/v1/auth/logout	http://localhost:3000
2024-06-20	21:58:05	5ca6b48c-4aa8-4b43-a3e8-3441eddc6d51	GET	/api/v1/lessons	http://localhost:3000
2024-06-20	21:58:05	f4a4f76d-3169-43a2-a3a2-9ae933d4a1b9	OPTIONS	/api/v1/lessons	http://localhost:3000
2024-06-20	22:10:25	3c3f06ee-48da-4283-b0cb-3c4a9fa1500e	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	22:10:25	23ba2a2a-d400-4a7b-93d4-d90d2d652cfc	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	22:11:11	74af22a7-0088-44c6-8062-22e6094a1520	OPTIONS	/api/v1/auth/login	http://localhost:3000
2024-06-20	22:11:11	9365e6ac-5151-4d59-8846-1b81f9dd7172	POST	/api/v1/auth/login	http://localhost:3000
2024-06-20	22:11:11	564269f0-ba12-4add-b3e8-351e11297164	OPTIONS	/api/v1/lessons	http://localhost:3000
2024-06-20	22:11:11	0dc7e6e8-424e-4834-a75b-8ddf83e63521	GET	/api/v1/lessons	http://localhost:3000
2024-06-20	22:11:13	503bcd1d-3889-4e03-87d3-48e0540e33c2	POST	/api/v1/auth/logout	http://localhost:3000
2024-06-20	22:17:20	d958acbc-2527-40c8-8bae-0729e514637f	OPTIONS	/api/students	http://localhost:3000
2024-06-20	22:17:20	3ea76106-0055-49af-8ef6-615551fd1cad	OPTIONS	/api/submissions	http://localhost:3000
2024-06-20	22:17:20	651e28a2-42f7-4a3a-a25d-9c069f654c25	GET	/api/students	http://localhost:3000
2024-06-20	22:17:20	0fd9658c-9d97-4751-9c24-e3150c25a463	GET	/api/submissions	http://localhost:3000
2024-06-20	22:18:41	7542af75-39d6-4122-b063-f7a6523b2c55	OPTIONS	/apiv1//submissions	http://localhost:3000
2024-06-20	22:18:41	b3977069-ba1d-4c00-b0a2-3c742ad6e063	GET	/apiv1//submissions	http://localhost:3000
2024-06-20	22:18:44	9eed512c-4730-4db0-a1fe-5373cdffaf3a	GET	/api/submissions	http://localhost:3000
2024-06-20	22:18:44	3d0651ee-7f24-48e5-b0c9-1e5f331e556e	OPTIONS	/api/submissions	http://localhost:3000
2024-06-20	22:18:48	908e4943-4f56-4f3c-ac99-98ae7b20b3d4	OPTIONS	/api/v1/submissions	http://localhost:3000
2024-06-20	22:18:48	f98f7905-5c7b-4ed4-b0c7-fac0e660c905	GET	/api/v1/submissions	http://localhost:3000
2024-06-20	22:18:56	6d931aaa-68b6-421d-bf0a-9cd11d4a1d1e	OPTIONS	/api/v1/students	http://localhost:3000
2024-06-20	22:18:56	56400e58-ab44-43bb-81a4-0b65f889b7f8	GET	/api/v1/students	http://localhost:3000
2024-06-20	22:19:03	217c4a7c-f919-43b4-a31a-179ebe6a8e56	OPTIONS	/api/v1/students	http://localhost:3000
2024-06-20	22:19:03	c2011f12-71a1-49bf-a6c7-d5cf8dc3ab41	GET	/api/v1/students	http://localhost:3000
2024-06-20	22:36:52	f11bbca8-76c1-44bc-9b44-e73874b783c1	OPTIONS	/api/v1/students	http://localhost:3000
2024-06-20	22:36:52	d9e5948a-f93e-4c10-9f8b-c5938a2df4a9	GET	/api/v1/students	http://localhost:3000
2024-06-20	22:36:59	7fcc992b-6a4b-47c0-bf13-1c14512b76d7	OPTIONS	/api/v1/students	http://localhost:3000
2024-06-20	22:36:59	26724f2e-256d-4b1d-a2d9-306b057bdd07	GET	/api/v1/students	http://localhost:3000
2024-06-20	22:37:04	8200aa02-a0db-4b9a-bd8f-db544faebac7	OPTIONS	/api/v1/students	http://localhost:3000
2024-06-20	22:37:04	cc95e7d6-9a01-44bc-8a6c-75c8280abf02	GET	/api/v1/students	http://localhost:3000
